Date,Open,High,Low,Close,Volume
2012-06-19,10721.4,10884.94,10721.18,10870.93,404914368
2012-06-20,10870.92,11022.81,10828.18,11022.81,415423584
2012-06-21,11022.92,11022.92,10903.79,10944.66,343316384
2012-06-22,10944.7,10944.7,10807.99,10823.86,233883488
2012-06-25,10823.82,10824.04,10671.42,10671.42,240121344
2012-06-26,10671.38,10717.93,10650.49,10665.37,252747312
2012-06-27,10665.32,10755.6,10635.32,10751.98,245275456
2012-06-28,10751.9,10777.34,10624.61,10688.29,267076864
2012-06-29,10688.1,10962.36,10688.1,10932.13,279531840
2012-07-02,10932.14,11093.47,10932.14,11093.47,269094080
2012-07-03,11093.42,11189.81,11089.95,11189.81,263813184
2012-07-04,11189.83,11199.36,11113.35,11161.21,210657952
2012-07-05,11161.18,11201.96,11080.22,11130.87,249914752
2012-07-06,11130.86,11131.84,11049.13,11070.64,220979968
2012-07-09,11070.61,11071.02,10967.28,10983.34,265984640
2012-07-10,10983.35,11092.58,10979.88,11065.49,274935968
2012-07-11,11065.43,11065.86,10936.86,10967.78,231170672
2012-07-12,10967.87,10998.43,10888.08,10924.05,413743104
2012-07-13,10924.03,11050.71,10923.62,11043.83,278872864
2012-07-16,11043.81,11104.44,11016.27,11075.26,206251744
2012-07-17,11075.25,11131.72,11007.1,11019.23,299299584
2012-07-18,11019.12,11091.02,11017.73,11085.68,239789520
2012-07-19,11085.64,11245.07,11085.63,11242.5,259104768
2012-07-20,11242.52,11253.87,11142.58,11168.85,262474592
2012-07-23,11168.93,11168.93,10880.84,10896.91,228011104
2012-07-24,10896.91,10957.28,10878.05,10885.94,256404624
2012-07-25,10885.98,10922.09,10840.78,10873.42,263695952
2012-07-26,10873.4,11040.64,10850.43,11039.52,232169536
2012-07-27,11039.51,11190.26,11039.51,11179.01,218217536
2012-07-30,11179.01,11250.75,11171.91,11238.91,191603696
2012-07-31,11238.88,11260.94,11136.69,11136.69,203993968
2012-08-01,11136.7,11198.17,11136.7,11186.19,203323280
2012-08-02,11186.23,11229.05,11076.61,11076.61,228096736
2012-08-03,11076.59,11314.81,11076.59,11301.14,192792944
2012-08-06,11301.17,11448.6,11301.15,11426.4,180925280
2012-08-07,11426.49,11460.94,11371.61,11460.94,188283904
2012-08-08,11461.03,11461.03,11377.02,11436.44,176653680
2012-08-09,11436.43,11466.22,11421.04,11464.03,184832784
2012-08-10,11464.05,11470.75,11411.09,11470.75,155580416
2012-08-13,11470.78,11471.6,11411.18,11436.81,147881136
2012-08-14,11436.83,11504.3,11436.49,11504.3,180032656
2012-08-15,11504.32,11512.43,11466.45,11498.12,167530400
2012-08-16,11498.19,11520.74,11478.08,11502.29
2012-08-17,11502.32,11618.1,11502.32,11618.1,204386832
2012-08-20,11618.09,11655.28,11555.52,11563.27,162213840
2012-08-21,11563.23,11645.8,11563.23,11639.47,187746752
2012-08-22,11639.48,11639.57,11480.57,11494.35,188717808
2012-08-23,11494.19,11538.25,11459.85,11466.54,166551008
2012-08-24,11466.56,11475.77,11398.53,11449.06,145070480
2012-08-28,11449.13,11451.63,11364.41,11375.24,177422048
2012-08-29,11375.26,11408.58,11339.72,11387.69,154302976
2012-08-30,11387.69,11387.92,11305.62,11325.91,177292992
2012-08-31,11325.95,11444.37,11325.92,11410.19,204071520
2012-09-03,11410.22,11508.37,11388.48,11503.13,157988768
2012-09-04,11503.13,11522.5,11407.37,11428.84,223811136
2012-09-05,11428.88,11452.73,11383.53,11446.07,248672480
2012-09-06,11446.1,11681.13,11446.09,11676.44,256176832
2012-09-07,11676.43,11810.86,11676.22,11808.01,251269952
2012-09-10,11808.04,11854.11,11792.82,11841.5,207074032
2012-09-11,11841.48,11841.49,11729.68,11780.42,196328384
2012-09-12,11780.39,11833.46,11751.48,11811.05,283886976
2012-09-13,11811.05,11846.64,11797.62,11846.53,219551136
2012-09-14,11846.44,12162.66,11846.36,12116.12,341128064
